0	24.6
10	24.2
20	22.4
25	20.8
30	19.9
35	17.1
40	15.3
45	12.9
50	11.1
55	8.9
60	7.3
65	5.7
70	3.9
75	2.5
80	1.3
85	0.5
90	0.1
95	0.1
100	0.5
105	1.2
110	2.4
115	3.7
120	5.4
125	9.3
130	11.8
135	13.9
140	16.3
145	18.3
150	18.8
155	20.7
160	22.3
165	23.6
170	24.8
175	25.3
180	25.7
190	25.3
200	23.4
210	20.5
220	16.6
230	12
240	7.5
250	4.1
260	1.7
270	0.1
280	0.3
290	1.8
300	5
310	9.5
320	13.8
330	18.2
340	21.5
350	24.3
360	25.8
